,group,num,level,school,title,description,credits
338,BA,A401,400,Anchorage,Alaska Native Corporation Business Management,"Covers the history, development and management of Alaska Native corporations and their economic and social impact on Alaska. Compares Native and non-Native corporate structures and governance; strategies, goals and core competencies; management practices and performance; and future challenges. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: WRTG A111 with a minimum grade of C or WRTG A1W with a minimum grade of C or WRTG A211 with a minimum grade of C or WRTG A212 with a minimum grade of C or WRTG A213 with a minimum grade of C or WRTG A214 with a minimum grade of C or WRTG A2W with a minimum grade of C.",3
339,BA,A402,400,Anchorage,Indigenous Leadership,"Explores leadership styles in Alaska Native organizations. Compares and contrasts indigenous and non-Native leadership characteristics. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: WRTG A111 with a minimum grade of C or WRTG A1W with a minimum grade of C or WRTG A211 with a minimum grade of C or WRTG A212 with a minimum grade of C or WRTG A213 with a minimum grade of C or WRTG A214 with a minimum grade of C or WRTG A2W with a minimum grade of C.

BA A403 Inside the Boardroom of Alaska Native Organizations  1 Credit

Examines best practices and the roles and responsibilities of a board of directors. Explores the differences between various types of boards: tribal, Alaska Native corporation, for-profit and nonprofit. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: WRTG A111 with a minimum grade of C or WRTG A1W with a minimum grade of C or WRTG A211 with a minimum grade of C or WRTG A212 with a minimum grade of C or WRTG A213 with a minimum grade of C or WRTG A214 with a minimum grade of C or WRTG A2W with a minimum grade of C.",3
340,BA,A421,400,Anchorage,Real Estate Management Capstone,"Evaluates an income-producing real estate asset, including a property description, regional and neighborhood analysis, market analysis, financial analysis, and final conclusions and recommendations. Special Note: Successful completion prepares students to sit for the following exams: National Apartment Association's Certified Apartment Manager (CAM), Institute of Real Estate Management's Accredited Residential Manager (ARM), Accredited Commercial Manager (ACom), and Certified Property Manager (CPM). Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: BA A215 with a minimum grade of C and BA A225 with a minimum grade of C and BA A302 with a minimum grade of C and BA A303 with a minimum grade of C.",3
341,BA,A426,400,Anchorage,Financial Institutions,"Study of the functions, structures, delivery systems, efficiencies, risk managements, and performances of financial institutions including banks, savings and loan associations, credit unions, investment companies, pension funds, mutual funds, and endowments. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: BA A325 with a minimum grade of C.",3
342,BA,A427,400,Anchorage,International Finance,"Covers foreign exchange determination and forecasting; foreign exchange, translation and transaction risks; hedging and speculation; international portfolio diversification and direct foreign investment; international acquisitions; and international taxation. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: BA A325 with a minimum grade of C.",3
343,BA,A431,400,Anchorage,Real Estate Appraisal,"Surveys all aspects of the real estate appraisal. Topics cover appraisal process, real estate economics, property inspection, sales comparison approach, cost approach, income approach, reporting appraisal opinion and the professional appraiser. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: ECON A102 with a minimum grade of C and (MATH A121 with a minimum grade of C or MATH A151 with a minimum grade of C or MATH A152 with a minimum grade of C or MATH A155 with a minimum grade of C or MATH A221 with a minimum grade of C or MATH A251 with a minimum grade of C).",3
344,BA,A432,400,Anchorage,Real Estate Law,"Surveys all aspects of the real estate law. Topics covered are legal system; scope of real property; types of ownership; real estate contracts; title and insurance; financing, closing and taxation; landlord and tenants; and environmental law and regulation. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: (BA A241 with a minimum grade of C or JUST A241 with a minimum grade of C or LEGL A101 with a minimum grade of C) and (COMM A111 with a minimum grade of C or COMM A235 with a minimum grade of C or COMM A237 with a minimum grade of C or COMM A241 with a minimum grade of C or COMM A1O with a minimum grade of C or COMM A2O with a minimum grade of C) and (WRTG A211 with a minimum grade of C or WRTG A212 with a minimum grade of C or WRTG A213 with a minimum grade of C or WRTG A214 with a minimum grade of C or WRTG A2W with a minimum grade of C).",3
345,BA,A451,400,Anchorage,Advanced Investment Strategies,"Advanced course in investment management covering problems and process of evaluating a particular stock. Discusses portfolio construction and management. Analyzes performance evaluation using fundamental, technical, and behavioral models and applies it to the portfolio project. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: BA A380 with a minimum grade of C.",3
346,BA,A452,400,Anchorage,Financial Derivatives,"Advanced course in investment management on financial derivatives. Covers options, futures, options on futures, swap markets, and their use in managing interest rate risk and foreign exchange risk. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: BA A325 with a minimum grade of C.",3
347,BA,A453,400,Anchorage,Bond Market Analysis,"Advanced course in investment management covering fixed-income securities. Covers bond fundamentals, types of debt instruments, term structure of interest rates, interest rate risks and their management, bond portfolio management, indexing, and performance evaluation. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: BA A325 with a minimum grade of C.",3
348,BA,A460,400,Anchorage,Marketing Management,"Simulates the development and management of a business as a member of a senior management team. Illustrates marketing management's role in formulating and executing strategy as well as marketing's interdependency with the other functional domains of business. Students will execute and test a business plan within a computer-simulated market, competing against other teams in class and around the world. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: BA A343 with a minimum grade of C.",3
349,BA,A461,400,Anchorage,Negotiation and Conflict Management,"Provides students with a forum to develop and practice negotiation skills and offers opportunities to make positive changes in negotiation behavior and habits. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: (COMM A111 with a minimum grade of C or COMM A235 with a minimum grade of C or COMM A237 with a minimum grade of C or COMM A241 with a minimum grade of C or COMM A1O with a minimum grade of C or COMM A2O with a minimum grade of C) and (WRTG A211 with a minimum grade of C or WRTG A212 with a minimum grade of C or WRTG A213 with a minimum grade of C or WRTG A214 with a minimum grade of C or WRTG A2W with a minimum grade of C).",3
350,BA,A462,400,Anchorage,Strategic Management,"Evaluation of the external and internal market environments to formulate a strategic plan that achieves above-average returns. Analysis of theory, current events, company and industry analysis, and case studies to prepare students to understand, evaluate, and carry out strategic decisions in the global marketplace. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: BA A300 with a minimum grade of C and BA A325 with a minimum grade of C and BA A343 with a minimum grade of C and ECON A227 with a minimum grade of C.",3
351,BA,A470,400,Anchorage,Becoming a Leader,"Provides an introduction to effective leadership. Topics such as the nature of leadership, recognizing leadership traits, developing leadership skills, overcoming obstacles, and addressing values in leadership will be examined. Attention will be given to helping students understand and improve their own leadership performance. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: BA A300 with a minimum grade of C.",3
352,BA,A480,400,Anchorage,Marketing Media Analytics,"Introduces students to the field of marketing media analytics. Examines marketing media analytics to understand how a business tracks the data specific to their use of social media, how and when to share information, what types of content drives the consumer, and how marketing impacts business. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing. May Be Stacked With: BA A680
Prerequisites: BA A343 with a minimum grade of C.",3
353,BA,A481,400,Anchorage,Applications in Management,"Covers an in-depth, hands-on examination of management topics and issues introduced in BA A300. Students are encouraged to develop their own management skills through case analysis, role playing, in-class exercises, and projects that require interaction with practicing managers. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: BA A300 with a minimum grade of C.",3
354,BA,A482,400,Anchorage,Integrated Marketing Communications,"Examines the principles and practices of marketing communications, involving tools used by marketers to inform consumers and to provide a managerial framework for integrated marketing communications planning. Special Note: Not available for credit to students who have completed BA A682. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing. May Be Stacked With: BA A682
Prerequisites: BA A343 with a minimum grade of C.",3
355,BA,A483,400,Anchorage,Marketing Campaign Practicum and Portfolio,"Allows students to put into practice competencies learned by executing an entrepreneurial or client-based project selected, developed, implemented and assessed across and throughout all their subsequent course work, resulting in a professional portfolio and presentation. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: BA A381 with a minimum grade of C and BA A383 with a minimum grade of C and BA A480 with a minimum grade of C and BA A482 with a minimum grade of C.",3
356,BA,A485,400,Anchorage,International Business Applications,"Examines in-depth, hands-on international business issues. Requires students to develop international business skills through field experiences and interactions with faculty and practicing managers. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: BA A347 with a minimum grade of C or BA A387 with a minimum grade of C or BA A388 with a minimum grade of C or BA A427 with a minimum grade of C or LOG A416 with a minimum grade of C.",3
357,BA,A489,400,Anchorage,From Startup to Growth,"Conceptualizing and planning a new business; entrepreneurship and innovation for new and established organizations; stages in business growth and implications for management. Students are required to work with a new or existing business and provide the needed studies and plans required to establish or expand an existing business. Registration Restrictions: College of Business and Public Policy BBA majors must be admitted to upper-division standing.
Prerequisites: BA A386 with a minimum grade of C or BA A462 with a minimum grade of C.

BA A490A Current Topics in Business  1-6 Credits

Explores current issues, techniques, and trends affecting business. Special Note: May be repeated for credit with a change of subtitle up to a maximum of 6 credits. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing. May Be Stacked With: BA A690

BA A490B Selected Topics in Alaska Native Corporations  1-3 Credits

Explores advanced topics in Alaska Native corporations with prominent leaders from the Alaska Native corporations and business communities. Special Note: May be repeated for credit with change of subtitle. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: WRTG A111 with a minimum grade of C or WRTG A1W with a minimum grade of C or WRTG A211 with a minimum grade of C or WRTG A212 with a minimum grade of C or WRTG A213 with a minimum grade of C or WRTG A214 with a minimum grade of C or WRTG A2W with a minimum grade of C.

BA A490C Selected Topics in International Business  1-3 Credits

Examines current topics and issues in international business. Brings prominent leaders from business schools in overseas, federal government agencies, and business executives into direct classroom contact with students to discuss important international business topics. Special Note: May be repeated for a maximum of 3 credits with change of subtitle. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: BA A287 with a minimum grade of C.",3
358,BA,A495,400,Anchorage,Advanced Internship in Business Administration,"Integrates classroom study with planned and supervised work experience in the public and private sectors. Students acquire essential practical skills by being exposed to occupational work environment beyond the boundaries of the campus, enhancing self-confidence and career direction. Students are expected to perform duties commensurate with entry-level management positions. Special Note: May be repeated more than once for credit, but only 3 credits will apply to meeting business majors' degree requirements. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing; permission of the BA faculty internship coordinator; 2.75 GPA overall; 3.00 GPA in major.",3
359,BA,A495A,400,Anchorage,International Business Internship,"Integrates classroom study with planned and supervised work experience in international business firms or  organizations. Students acquire essential practical skills by being exposed to the international business work environment beyond the boundaries of the campus, enhancing self-confidence and career direction. Students are expected to perform duties in international business settings. Special Note: Maximum of 3 internship credits may be used to meet International Business Minor requirements. Registration Restrictions: College of Business & Public Policy majors must be admitted to upper-division standing. Permission of the International business coordinator. Minimum 2.75 GPA overall.
Prerequisites: BA A347 with a minimum grade of C or BA A387 with a minimum grade of C or BA A427 with a minimum grade of C or ECON A363 with a minimum grade of C or LOG A416 with a minimum grade of C.",3
360,BA,A603,600,Anchorage,Fundamentals of Finance,"Surveys the practice of corporate finance. Topics covered include time value of money, financial statements analysis, valuation of securities, capital budgeting, risk and return, and cost of capital. Special Note: This is a foundational course for MBA students who have not taken any course in finance at the baccalaureate level. Does not count toward MBA degree. Registration Restrictions: Graduate standing.
Prerequisites: ACCT A601.",3
361,BA,A608,600,Anchorage,Artificial Intelligence with Business Applications,"Demonstrates how Artificial Intelligence (AI) is reshaping the future and revolutionizing business. Explains key AI technologies, including neural networks, deep learning, machine learning and robotics. Describes how leadership uses AI to transform organizations into innovative, efficient and sustainable ones. Discusses implications of AI on cyber security, ethical and economic issues. Registration Restrictions: Graduate standing or department approval",3
362,BA,A610,600,Anchorage,Business Intelligence and Analytics,"Covers data identification, collection, and analysis, and presentation of results. Uses basic statistical tools and models for problem analysis and data-driven decision-making that are presented from the perspective of a manager. Emphasizes the appropriate selection, use and interpretation of statistical analysis for business decision making. Uses computer software to analyze business datasets. Registration Restrictions: Graduate standing and an instructor-approved statistics course with a minimum grade of C or equivalent undergraduate preparation",3
363,BA,A613,600,Anchorage,Applied Leadership,"Students develop their leadership skills, exchange ideas and evaluate their internal image, enabling them to make positive changes in their behavior from a leadership context. Students learn theories and practices that affect organizational direction through understanding internal and external influences. Registration Restrictions: Graduate standing
Prerequisites: BA A632 with a minimum grade of C.",3
364,BA,A617,600,Anchorage,Technology Management,Explores technology management models and practices. Presents the nature and importance of technological change. Introduces tools to analyze and manage changes in technology-driven organizations. Registration Restrictions: Graduate standing or instructor approval Crosslisted With: ESM A617,3
365,BA,A621,600,Anchorage,Change Leadership and Facilitation,"Effective and successful approaches to change in complex organizations are the major objectives of this course. Develops students' capabilities to lead change at individual, group and organizational levels. Students will analyze situations that drive change in organizations and the application of theories and concepts for successful, sustainable implementation of change. Registration Restrictions: Graduate standing
Prerequisites: BA A632.",3
366,BA,A627,600,Anchorage,Leadership in the Multicultural Organization,"Examines leadership theories and concepts to understand how culture fits in a changing business world, how to gain a competitive advantage from effective cross-cultural management, and practicalities for doing business in an era of globalization. Explores factors, conditions and practices for business success to understand, communicate and lead across cultures. Registration Restrictions: Graduate standing
Prerequisites: BA A632.",3
367,BA,A628,600,Anchorage,Executive Leadership,"Students synthesize leadership theories, practices and self-assessments so that they better understand challenges leaders face in organizations. Students are provided with opportunities to interact and network with top executives from the local business community. Executives share their leadership styles, knowledge and practical applications of theories. Registration Restrictions: Admission to Master of Business Administration or instructor approval",3
368,BA,A629,600,Anchorage,Negotiation and Conflict Management,"Designed to result in students' improved negotiation skill. An experiential class in which skills are both learned and practiced, enabling students to obtain feedback and make positive changes in their behavior in negotiation contexts. Registration Restrictions: Graduate standing",3
369,BA,A632,600,Anchorage,Leadership and Organizational Behavior,"Enable students to become effective and successful leaders and followers in organizations. Students develop an understanding of the dynamics of human behavior and acquire skills for motivating oneself, peers and subordinates. Topics include leading teams, building relationships and communicating across groups. Registration Restrictions: Graduate standing",3
370,BA,A633,600,Anchorage,Problem Formulation and Decision Analysis,"Identifies and formulates business problems with alternative approaches to modeling and analysis. Collects data and utilizes appropriate software tools for optimization, forecasting, and simulation of business processes. Focuses on formal quantitative modeling with strong recognition of the behavioral and political contexts of decision making in complex organizations. Registration Restrictions: Graduate standing and an instructor-approved statistics course with a minimum grade of C or equivalent undergraduate preparation
Prerequisites: ECON A602.",3
371,BA,A634,600,Anchorage,Organizational Design and Development,"Explores factors, conditions and practices that lead to creating and maintaining organizational success. Examines alternative methods of determining organizational effectiveness. Presents organizational design based on contingency theory perspective and examines major organizational dilemmas and dysfunctions. Surveys and applies critical tools available for organizational development. Registration Restrictions: Graduate standing.",3
372,BA,A635,600,Anchorage,Current Marketing Issues Seminar,"Explores the origin, nature, and ramifications of current issues in marketing that are redefining the role and scope of applied marketing management practices in contemporary organizations. Discusses the major ongoing socio-cultural and technological issues and trends impacting marketing research, competitive strategies, product/service design, pricing, promotion, and distribution. Registration Restrictions: Graduate standing.",3
373,BA,A636,600,Anchorage,Financial Decision Making,"Advanced course in financial decision making presenting analytical techniques and concepts. Includes risk and return relationships, capital asset pricing model (CAPM) and Markowitz diversification, free cash flow and corporate valuation, options, and working capital management. Registration Restrictions: Graduate standing
Prerequisites: BA A603.",3
374,BA,A648,600,Anchorage,Business Intelligence and Data Mining,"Covers basic business intelligence and data mining including data warehousing and querying. Applies business intelligence and data mining techniques to marketing campaigns, fraud detection and terrorism detection. Uses SAS Enterprise Miner to illustrate decision trees, classification algorithms and other data mining techniques. Students may apply for SAS Data Mining Certification. Registration Restrictions: Graduate Standing and an instructor-approved statistics course with a minimum grade of C or equivalent undergraduate preparation",3
375,BA,A649,600,Anchorage,Advanced Business Data Analysis,"Analyze business data using popular statistical methods including ANOVA, ANCOVA, regression and logistical regression. Emphasizes the appropriate selection and use of statistical analysis methods based on variation pattern of observed business data. Present analysis results in an appropriate way for business decision making purposes. Statistical software package of SAS is intensively used to build statistical models for business data. This course will prepare students for the SAS certification exam for Statistical Business Analyst. Registration Restrictions: Graduate standing
Prerequisites: BA A610.",3
376,BA,A655,600,Anchorage,Strategic Management Seminar,"Analysis of the strategic environment; formulation and implementation of strategy. Role of top management and other stakeholders in setting the organization's fundamental direction. Structure and control system design for strategic support. Registration Restrictions: Graduate standing.
Prerequisites: BA A632 and BA A635 and BA A636.",3
377,BA,A656,600,Anchorage,Management Project,"Management research project designed to integrate policy concepts, research methods, and practical problem solving techniques. Registration Restrictions: Completion of MBA core courses.",3
378,BA,A671,600,Anchorage,Introduction to Entrepreneurship,"Covers personal qualities of successful entrepreneurs, information required to start a new business venture, and ways to present and analyze the unique business problems that face entrepreneurs in starting and operating a new venture. Registration Restrictions: Graduate standing",3
379,BA,A680,600,Anchorage,Marketing Media Analytics,"Provides strategic knowledge and insights into the field of marketing media analytics. Assess, interpret and apply marketing media analytics to understand how a business tracks the data specific to their use of social media, how and when to share information, what types of content drives the consumer, and the impact of marketing on the business. Special Note: Not available for credit to students who have completed BA A480. Registration Restrictions: Graduate standing May Be Stacked With: BA A480",3
380,BA,A682,600,Anchorage,Integrated Marketing Communications,"Analyzes the principles and practices of marketing communications, involving tools used by marketers to inform consumers and to provide a managerial framework for integrated marketing communications planning. Special Note: Not available for credit to students who have completed BA A482. Registration Restrictions: Graduate standing May Be Stacked With: BA A482",3
381,BA,A686,600,Anchorage,Management Simulation,"Students experience running a business as a member of a senior management team. Teams select competitive strategies, execute them within a simulated online decision-making framework, and examine how a firm's production, marketing, R&D, HR and financial operations interact with one another in a competitive market. Teams compete simultaneously with fellow classmates and student teams from universities around the world. Registration Restrictions: Graduate standing and completion of undergraduate or graduate course in finance and accounting.

BA A690 Advanced Topics in Business  1-6 Credits

Examines current issues, techniques, and trends affecting business and applies advanced theories to analyze and solve business problems. Special Note: May be repeated for credit with a change in subtitle up to a maximum of 6 credits. Registration Restrictions: Faculty permission and graduate standing. May Be Stacked With: BA A490A",3
382,BA,A695,600,Anchorage,Graduate Internship,"Integrates classroom study with planned and supervised work experience in the public and private sectors. Students acquire essential practical skills to enhance self-confidence and career direction by being exposed to occupational work environments beyond the boundaries of the campus. Registration Restrictions: Graduate standing, completion of MBA core courses",3
383,BA,A698,600,Anchorage,MBA Individual Research,Independent primary research project conducted under the supervision of a faculty advisor. Registration Restrictions: Graduate standing and completion of MBA core courses,3
384,BA,A699,600,Anchorage,Thesis,"Independent research project conducted under supervision of a thesis advisor and committee, culminating in a formal thesis and oral defense. Registration Restrictions: Graduate standing and completion of MBA core courses

CTE A698 Individual Research  1-6 Credits

Facilitates the development of a research paper/project and presentation jointly approved by the student's graduate committee and the student.  Supports research that coincides with the student's professional objectives. Registration Restrictions: Graduate standing and advisor permission. Completion of or concurrent enrollment in research courses by advisement.

GUID A104 Student Association Leadership I  1-3 Credits

Survey of student leadership topics including techniques of organizational planning, management, program planning, budgeting, group dynamics, communication and leadership theories and techniques. Application of techniques through program/service projects utilizing the student association as a laboratory.",6
469,BIOM,A418,400,Anchorage,Human Gross Anatomy,"Provides a fundamental working knowledge of normal human gross anatomy and relates anatomy to clinical relevance. Includes dissection laboratory on cadavers. Special Note: Instructor approval required for registration. Registration Restrictions: Instructor approval

BIOM A490 Selected Lecture Topics in Biomedicine  1-3 Credits

Detailed coverage of a selected lecture topic in biomedicine. Special Note: Not available for credit to students who have completed BIOM A690 with the same subtitle. May be repeated for a maximum of 9 credits with change of subtitle. Registration Restrictions: Junior or senior standing and faculty permission May Be Stacked With: BIOM A690

BIOM A618 Clinical Anatomy  4.5 Credits

Provides an overview of clinical human gross anatomy and integrates knowledge of anatomy and health conditions. Emphasizes critical relationships and clinical significance. Facilitates an understanding of how anatomy aids in effective clinical interventions. Registration Restrictions: Graduate standing and admission to Creighton Occupational Therapy degree program or instructor approval

BIOM A690 Advanced Selected Topics in Biomedicine  1-3 Credits

Advanced coverage of a selected topic within biomedicine. Students will analyze and evaluate research and clinical data to formulate diagnoses and future avenues of research within biomedicine. Special Note: Students enrolled in BIOM A690 will be required to complete additional work and at a higher level than students enrolled in BIOM A490 with the same subtitle. Not available for credit to students who have completed BIOM A490 with the same subtitle. May be repeated for a maximum of 9 credits with change of subtitle. Registration Restrictions: Graduate standing and faculty permission May Be Stacked With: BIOM A490

BIOM A692 Graduate Seminar  1 Credit

Subjects of relevance covered in biomedical research or molecular medicine through the discussion of primary literature selected from top and medium tier journals, and/or attendance at selected professional seminar series offered in the local hospitals. Special Note: May be repeated for a maximum of 4 credits. Registration Restrictions: Graduate standing and faculty permission.

BIOM A698 Directed Research  1-6 Credits

Research in topics related to biomedicine or molecular medicine for graduate students. Area of research to be approved and directed by a faculty member in the WWAMI School of Medical Education. Special Note: May be repeated for a maximum of 6 credits. Registration Restrictions: Graduate standing and faculty permission.

BIOM A699 Thesis  1-9 Credits

Planning, preparation and completion of graduate thesis for which the student's graduate advisor is a faculty member in the WWAMI School of Medical Education. Special Note: May be repeated for a maximum of 18 credits. Registration Restrictions: Graduate standing and permission of graduate advisor.",3
597,CIS,A310,300,Anchorage,Analysis of Business Systems,"Presents an overview of systems analysis concepts and computer-based tools for use in the analysis of business information systems. Directed toward the development of communication skills needed for determining business system requirements and conveying those requirements to developers and system stakeholders. Concepts and tools will be applied to community-based, student-led projects. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing. AAS Business Computer Information Systems students may register with instructor approval.
Prerequisites: CIS A210 with a minimum grade of C and CIS A280 with a minimum grade of C.",3
598,CIS,A330,300,Anchorage,Database Management Systems,"Covers principles of database management systems, including relational database concepts, design, and application, methods of file organization, query languages, and online transaction processing systems. Students will design and implement a database project during the semester. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: CIS A210 with a minimum grade of C.",3
599,CIS,A345,300,Anchorage,Managing Data Communications and Computer Networks,"Introduces the rapidly changing environment of data communications over local area networks and over switched and private voice lines.  Focuses on the control and management of data in a distributed environment, the technology issues associated with data communications, and current trends in the industry. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: CIS A110 with a minimum grade of C.",3
600,CIS,A350,300,Anchorage,Advanced Web Page Development for Business Applications,"Focuses on advanced features of designing and developing web pages for business applications using the most recent versions of Hypertext Markup Language (HTML) and Cascading Style Sheets (CSS). Includes concepts related to best practices for managing design processes, selecting service providers, prototyping, testing and accessibility compliance. Also includes basic client-side programming for web pages using current scripting techniques such as JavaScript and jQuery. Special Note: Students may apply no more than 3 credits from CIS A250 or CIS A350 toward graduation requirements. May Be Stacked With: CIS A250
Prerequisites: CIS A210 with a minimum grade of C or CS A109 with a minimum grade of C or CS A110 with a minimum grade of C or CSCE A201 with a minimum grade of C or CSE A205 with a minimum grade of C.",3
601,CIS,A361,300,Anchorage,Advanced Contemporary Business Applications Development,"Develops business applications using contemporary technologies and programming languages at an advanced level. Designs user interfaces and integrates them with other platforms such as spreadsheets and databases. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: CIS A210 with a minimum grade of C.",3
602,CIS,A376,300,Anchorage,Management Information Systems,"Focuses on developing understanding of the role of Information Systems (IS) to achieve business goals and objectives. Emphasizes developing students' skills to become informed participants in the formation and implementation of IS requirements. Registration Restrictions: Completion of all GER Tier 1 (basic college-level skills) courses and junior standing. BBA students must be admitted to upper-division standing.
Prerequisites: CIS A280 with a minimum grade of C or COMM A241 with a minimum grade of C.
Attributes: UAA Integrative Capstone GER.

CIS A390 Selected Topics in Management Information Systems  1-6 Credits

Study of specific current issues, techniques, and trends in Management Information Systems (MIS). Special Note: May be repeated for a maximum of 9 credits with a change of subtitle. Maximum of 9 elective credits may be used for the BBA MIS degree. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: CIS A210 with a minimum grade of C.",3
603,CIS,A395,300,Anchorage,Programmer/Analyst Internship,"Provides computer programmer/analyst work experience in a faculty approved position. Special Note: Requires 225 hours of work experience. Maximum of 3 internship credits may be used to meet major requirements. Registration Restrictions: Department permission required. Student must be in good standing in the College of Business and Public Policy. Cumulative GPA of 2.75 or higher.
Prerequisites: CIS A210 with a minimum grade of C.",3
604,CIS,A410,400,Anchorage,Project Management,"Covers essentials of planning, scheduling, and managing information system projects; risk assessment and risk management; and project management tools. Involves students in the development of a project plan for a community-based information system development project.
Prerequisites: CIS A310 with a minimum grade of C.",3
605,CIS,A430,400,Anchorage,Client-Server Programming for Business Applications,"Covers basic client-server system concepts and business application development using client-server development tools. Students will write advanced business application programs using client-server design and development tools with programming languages in order to interface with Database Management System (DBMS) software for interactive processing. Emphasizes application development, program design, program testing, and certification in the client-server environment. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: CIS A210 with a minimum grade of C and CIS A330 with a minimum grade of C and CIS A376 with a minimum grade of C.",3
606,CIS,A445,400,Anchorage,Advanced Network Management,"Provides practical knowledge about the installation, configuration, administration, and operation of networks in local area and wide area settings. The operation and interconnectivity between commercially available software will be explored as well as the utilization of different communication protocols on the same network. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: CIS A345.",3
607,CIS,A460,400,Anchorage,Web Development in the .Net Environment,"Development of data-driven web applications within the .Net environment. Uses ASP.Net and C# as the development environment. Special Note: Assumes previous programming experience with HTML and CSS. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: CIS A210 with a minimum grade of C and (CIS A250 with a minimum grade of C or CIS A350 with a minimum grade of C or JPC A345 with a minimum grade of C) and CIS A376 with a minimum grade of C.",3
608,CIS,A470,400,Anchorage,Data Warehouses and Business Intelligence,"Introduces students to the theory and practice of data warehouses for enterprises and business intelligence for enterprise resource planning (ERP) systems. Surveys processes of extraction, cleansing, consolidation and transformation of heterogeneous data into a single enterprise data warehouse. Reviews how business intelligence can be derived from data warehouses. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing. May Be Stacked With: CIS A670",3
609,CIS,A489,400,Anchorage,"Systems Design, Development and Implementation","Engages students in the design, development and implementation of an information system project. Students working in small teams integrate and apply MIS concepts and skills, conduct independent research, develop an implementable system for a community organization, and present written and oral reports. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: CIS A376 with a minimum grade of C and CIS A410 with a minimum grade of C and (CIS A430 with a minimum grade of C or CIS A460 with a minimum grade of C).",3
610,CIS,A490,400,Anchorage,Advanced Topics in Management Information Systems,"Study of advanced current issues, techniques and trends in management information systems (MIS). Students will be required to conduct research. Special Note: May be repeated with a change of subtitle/topic. Maximum of 9 elective credits may be used for the BBA MIS degree. Check course schedule for specific titles being offered. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: CIS A210 with a minimum grade of C.",3
611,CIS,A495,400,Anchorage,Systems Analyst/User Support Internship,"Provides systems analyst or user-support work experience in a faculty approved position. Special Note: Requires 75 hours of work experience for each credit. May be taken more than once up to a maximum of 6 credits. Maximum of 3 internship credits may be used to meet major requirements. Registration Restrictions: Department permission required. Student must be in good standing in the College of Business and Public Policy. Cumulative GPA of 2.75 or higher.
Prerequisites: CIS A210 with a minimum grade of C and CIS A376 with a minimum grade of C.

CIS A498 Individual Research Project  1-6 Credits

In a simulated professional environment, students complete an MIS project, prepare a project report, and make a managerial presentation. Special Note: May be taken more than once for credit. Maximum of 3 credits may be used to meet degree requirements. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: CIS A361 with a minimum grade of C and CIS A376 with a minimum grade of C.",3
